block_num,Block_length_target,Goal_Bonded,Inflation_Rate_Change,Min_Inflation_Rate,Max_Inflation_Rate,Min_Signatures,Blocks_per_year,Validator_id,atom_staked_v,inflation_rate,total_supply,percent_staked,community_tax,min_proposer_bonus,max_proposer_bonus,v_commission,self_bonded_rew_amt,commission_amt,n_validators,timestamp,sign_ratio,total_block_fees
12685251,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper196ax4vc0lwpxndu9dyhvca7jhxp70rmcvrj90c,9461821.038155,0.1306208863038817,314474810216439,64.1,0.02,0.01,0.04,1.9,83.98042560255016,4627.70822850865,175,2022-11-02T07:55:32.718422550Z,1.0,4735.0
12685252,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper196ax4vc0lwpxndu9dyhvca7jhxp70rmcvrj90c,9461821.038155,0.1306209061357079,314474829059092,64.1,0.02,0.01,0.04,1.9,83.98078015151991,4627.732821314423,175,2022-11-02T07:55:39.149182479Z,1.0,7868.0
12685254,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper196ax4vc0lwpxndu9dyhvca7jhxp70rmcvrj90c,9461821.038155,0.1306209160515797,314474838480420,64.1,0.02,0.01,0.04,1.9,83.98089303514287,4627.740651332984,175,2022-11-02T07:55:52.063087500Z,1.0,0.0
12685255,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper196ax4vc0lwpxndu9dyhvca7jhxp70rmcvrj90c,9461821.038155,0.130620925967458,314474847901749,64.1,0.02,0.01,0.04,1.9,83.98100571863449,4627.748467469707,175,2022-11-02T07:55:58.708404242Z,1.0,0.0
12685256,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper196ax4vc0lwpxndu9dyhvca7jhxp70rmcvrj90c,9461821.038155,0.1306209358833429,314474857323079,64.1,0.02,0.01,0.04,1.9,83.98111842352499,4627.756285090737,175,2022-11-02T07:56:05.164534098Z,1.0,21276.0
12685257,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper196ax4vc0lwpxndu9dyhvca7jhxp70rmcvrj90c,9461821.038155,0.1306209457992335,314474866744410,64.1,0.02,0.01,0.04,1.9,83.98123132770095,4627.76411653493,175,2022-11-02T07:56:16.333813965Z,1.0,0.0
12685258,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper196ax4vc0lwpxndu9dyhvca7jhxp70rmcvrj90c,9461821.038155,0.1306209557151307,314474876165742,64.1,0.02,0.01,0.04,1.9,83.98134408035924,4627.771937469305,175,2022-11-02T07:56:22.624435590Z,1.0,10159.0
12685259,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper196ax4vc0lwpxndu9dyhvca7jhxp70rmcvrj90c,9461821.038155,0.1306209656310236,314474885587075,64.1,0.02,0.01,0.04,1.9,83.98145685163439,4627.779759695015,175,2022-11-02T07:56:28.843190888Z,1.0,0.0
12685260,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper196ax4vc0lwpxndu9dyhvca7jhxp70rmcvrj90c,9461821.038155,0.1306209755468741,314474895008409,64.1,0.02,0.01,0.04,1.9,83.98156966758049,4627.787585019262,175,2022-11-02T07:56:35.148850196Z,1.0,0.0
12685261,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper196ax4vc0lwpxndu9dyhvca7jhxp70rmcvrj90c,9461821.038155,0.130620995378595,314474913851080,64.1,0.02,0.01,0.04,1.9,83.98179513638024,4627.803224355075,175,2022-11-02T07:56:41.714464659Z,1.0,9150.0
12685263,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper196ax4vc0lwpxndu9dyhvca7jhxp70rmcvrj90c,9461821.038155,0.130621005294465,314474923272417,64.1,0.02,0.01,0.04,1.9,83.98190809073235,4627.811059279668,175,2022-11-02T07:56:54.763023216Z,1.0,0.0
12685264,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper196ax4vc0lwpxndu9dyhvca7jhxp70rmcvrj90c,9461821.038155,0.1306210152103416,314474932693755,64.1,0.02,0.01,0.04,1.9,83.98202082204075,4627.818878733137,175,2022-11-02T07:57:01.231514151Z,1.0,0.0
12685265,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper196ax4vc0lwpxndu9dyhvca7jhxp70rmcvrj90c,9461821.038155,0.1306210251262247,314474942115094,64.1,0.02,0.01,0.04,1.9,83.98213352935167,4627.826696522056,175,2022-11-02T07:57:07.485655426Z,1.0,7071.0
12685448,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper196ax4vc0lwpxndu9dyhvca7jhxp70rmcvrj90c,9461960.765259,0.130622849712607924,314476675658310,64.1,0.020000000000000000,0.010000000000000000,0.040000000000000000,1.9,84004183.113419108598000000,4629356137.781352971124650585,175,2022-11-02T08:17:23.624275719Z,1.0,2229.0
12685451,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper196ax4vc0lwpxndu9dyhvca7jhxp70rmcvrj90c,9461960.765259,0.130622869545819711,314476694501357,64.1,0.020000000000000000,0.010000000000000000,0.040000000000000000,1.9,84004408.610962529394000000,4629371779.131107174309813469,175,2022-11-02T08:17:42.885111269Z,1.0,9316.0
12685453,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper196ax4vc0lwpxndu9dyhvca7jhxp70rmcvrj90c,9461960.765259,0.130622889379568771,314476713344408,64.1,0.020000000000000000,0.010000000000000000,0.040000000000000000,1.9,84004634.097611800574000000,4629387419.725202540431174847,175,2022-11-02T08:17:55.930362600Z,1.0,0.0
12685455,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper196ax4vc0lwpxndu9dyhvca7jhxp70rmcvrj90c,9461960.765259,0.130622909213332055,314476732187463,64.1,0.020000000000000000,0.010000000000000000,0.040000000000000000,1.9,84004859.789078467868000000,4629403074.526195721799808505,175,2022-11-02T08:18:09.211759830Z,1.0,0.0
12685456,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper196ax4vc0lwpxndu9dyhvca7jhxp70rmcvrj90c,9461960.765259,0.130622929047109561,314476751030522,64.1,0.020000000000000000,0.010000000000000000,0.040000000000000000,1.9,84005085.452174464660000000,4629418727.359293592898307976,175,2022-11-02T08:18:15.607401423Z,1.0,16790.0
12685459,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper196ax4vc0lwpxndu9dyhvca7jhxp70rmcvrj90c,9461960.765259,0.130622948880901250,314476769873585,64.1,0.020000000000000000,0.010000000000000000,0.040000000000000000,1.9,84005311.108558912234000000,4629434379.720833872736265156,175,2022-11-02T08:18:34.550946374Z,1.0,8366.0
12685461,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper196ax4vc0lwpxndu9dyhvca7jhxp70rmcvrj90c,9461960.765259,0.130622968714725068,314476788716652,64.1,0.020000000000000000,0.010000000000000000,0.040000000000000000,1.9,84005536.601832575694000000,4629450020.762392190776952088,175,2022-11-02T08:18:47.342518848Z,1.0,4011.0
12685462,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper196ax4vc0lwpxndu9dyhvca7jhxp70rmcvrj90c,9461960.765259,0.130622988548574929,314476807559723,64.1,0.020000000000000000,0.010000000000000000,0.040000000000000000,1.9,84005762.189721458610000000,4629465668.366809606756125332,175,2022-11-02T08:18:53.636862847Z,1.0,17850.0
12685464,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper196ax4vc0lwpxndu9dyhvca7jhxp70rmcvrj90c,9461960.765259,0.130622998465509392,314476816981260,64.1,0.020000000000000000,0.010000000000000000,0.040000000000000000,1.9,84005874.947576486540000000,4629473489.665724099937524214,175,2022-11-02T08:19:06.333477420Z,1.0,6951.0
12685465,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper196ax4vc0lwpxndu9dyhvca7jhxp70rmcvrj90c,9461960.765259,0.130623018299391506,314476835824337,64.1,0.020000000000000000,0.010000000000000000,0.040000000000000000,1.9,84006229.795016878938000000,4629498103.187324388439868265,175,2022-11-02T08:19:12.506818748Z,1.0,24936.0
12685467,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper196ax4vc0lwpxndu9dyhvca7jhxp70rmcvrj90c,9461960.765259,0.130623038133293922,314476854667418,64.1,0.020000000000000000,0.010000000000000000,0.040000000000000000,1.9,84006455.296875031836000000,4629513744.824334578457643955,175,2022-11-02T08:19:25.232836659Z,1.0,2596.0
12685469,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper196ax4vc0lwpxndu9dyhvca7jhxp70rmcvrj90c,9461960.765259,0.130623048050245194,314476864088960,64.1,0.020000000000000000,0.010000000000000000,0.040000000000000000,1.9,84006568.021781701544000000,4629521563.837829901842239328,175,2022-11-02T08:19:42.986433445Z,1.0,2779.0
